Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
ATCO LTD,ACO/X,2630,40.94,329805,2060615
BROOKFIELD INFRASTRUCTURE PARTNERS LP,BIP-U,2090,53.20,262069,B2NR6V4
FORTIS INC,FTS,2589,42.27,324645,2347200
TRANSALTA RENEWABLES,RNW,9505,11.91,1191725,BCZLSL8
BORALEX INC,BLX,4887,19.80,612696,2099084
CAPITAL POWER CORP,CPX,4461,25.48,559296,B61KF83
BROOKFIELD RENEWABLE PARTNERS LP,BEP-U,2836,39.60,355540,B712JY0
HYDRO ONE INC,H,5325,19.12,667614,BYYXJY9
NORTHLAND POWER INC,NPI,4962,24.19,622114,B68XHC3

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZVC,JH296,BMO MSCI CANADA VALUE INDEX ETF,300250,21.50634,0.04535,0,1.30355,0.35,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
METRO INC,MRU,378,42.95,1135,2583952
BARRICK GOLD CORP,ABX,1572,15.43,4719,2024644
TURQUOISE HILL RES,TRQ,1640,3.70,4925,B7WJ1F5
CANADIAN NATIONAL RAILWAY CO,CNR,1283,116.74,3853,2180632
CANADIAN NATURAL RESOURCES LTD,CNQ,2169,47.06,6513,2171573
WEST FRASER TIMBER CO LTD,WFT,107,80.80,321,2951098
BCE INC,BCE,196,54.82,588,B188TH2
LUNDIN MINING CORP,LUN,992,7.29,2979,2866857
POWER CORPORATION OF CANADA,POW,987,29.77,2964,2697701
CENOVUS ENERGY INC,CVE,3223,13.54,9678,B57FG04
KINROSS GOLD CORP,K,3226,4.79,9687,B03Z841
EMPIRE COMPANY LTD,EMP/A,602,26.53,1807,2314000
CANADIAN IMPERIAL BANK OF COMMERCE,CM,760,117.32,2281,2170525
GEORGE WESTON LTD,WN,160,108.11,481,2956662
MAGNA INTERNATIONAL INC,MG,1051,76.52,3155,2554475
SEVEN GENERATIONS ENERGY LTD,VII,472,15.13,1417,BRK0MM4
HUSKY ENERGY INC,HSE,1431,20.65,4297,2623836
CAMECO CORP,CCO,1299,14.26,3901,2166160
WSP GLOBAL INC,WSP,117,68.96,351,BHR3R21
ROYAL BANK OF CANADA,RY,1357,100.88,4074,2754383
TELUS CORP,T,808,47.02,2427,2381093
MANULIFE FINANCIAL CORP,MFC,4652,23.89,13967,2492519
ATCO LTD,ACO/X,633,40.94,1900,2060615
OPEN TEXT CORP,OTEX,782,49.48,2347,2260824
TECK RESOURCES LTD,TECK/B,2680,32.59,8046,2879327
BANK OF MONTREAL,BMO,946,103.86,2841,2076009
LOBLAW COMPANIES LTD,L,462,68.53,1387,2521800
LINAMAR CORP,LNR,154,55.33,463,2516022
SMARTCENTRES REAL ESTATE INVESTMENT,SRU-U,179,30.13,538,BZ22BK5
SUN LIFE FINANCIAL INC,SLF,899,53.35,2699,2566124
IMPERIAL OIL LTD,IMO,608,43.33,1826,2454241
GOLDCORP INC,G,1777,17.43,5335,2676302
FAIRFAX FINANCIAL HOLDINGS LTD,FFH,51,719.01,154,2566351
FIRST QUANTUM MINERALS LTD,FM,1448,19.03,4347,2347608
H&R REAL ESTATE INVESTMENT TRUST,HR-U,455,20.01,1366,B3DJHT2
POWER FINANCIAL CORP,PWF,514,31.17,1544,2697864
TORONTO-DOMINION BANK,TD,1963,76.88,5894,2897222
BAUSCH HEALTH COMPANIES INC,BHC,374,29.74,1123,BFFY852
CAE INC,CAE,715,26.84,2146,2162760
INDUSTRIAL ALLNCE INS FIN SRVC,IAG,236,52.31,709,2543688
BANK OF NOVA SCOTIA,BNS,1594,76.58,4785,2076281
FINNING INTERNATIONAL INC,FTT,521,32.18,1565,2339177
CGI GROUP INC,GIB/A,602,84.00,1808,2159740
NATIONAL BANK OF CANADA,NA,489,63.59,1468,2077303
CANADIAN TIRE CORPORATION LTD,CTC/A,79,176.37,238,2172286
SUNCOR ENERGY INC,SU,3440,53.11,10328,B3NB1P2
CRESCENT POINT ENERGY CORP,CPG,3115,9.66,9352,B67C8W8
BLACKBERRY LTD,BB,624,13.46,1874,BCBHZ31
TOURMALINE OIL CORP,TOU,1049,24.54,3150,B3QJ0H8
HYDRO ONE INC,H,788,19.12,2365,BYYXJY9

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZVI,JH298,BMO MSCI EAFE VALUE INDEX ETF,302500,20.99044,0.09205,0,1.30355,0.4,100000,0.1

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
VOESTALPINE AG,VOE AV,34,63.61,103,4943402
BERKELEY GROUP HOLDINGS PLC,BKG LN,30,64.31,90,B02L3W3
STANDARD CHARTERED PLC,STAN LN,820,11.78,2480,0408284
KYOCERA CORP,6971 JP,66,74.15,200,6499260
NWS HOLDINGS LTD,659 HK,559,2.42,1690,6568353
MIZUHO FINANCIAL GROUP INC,8411 JP,5256,2.30,15900,6591014
ITOCHU CORP,8001 JP,595,23.24,1800,6467803
IMPERIAL BRANDS PL,IMB LN,167,48.93,504,0454492
KINGFISHER PLC,KGF LN,504,5.37,1525,3319521
SUZUKEN CO LTD,9987 JP,99,57.09,300,6865560
EDP ENERGIAS DE PORTUGAL SA,EDP PL,640,5.27,1936,4103596
JOHN WOOD GROUP PLC,WG/ LN,135,10.96,408,B5N0P84
REXEL SA,RXL FP,254,18.60,769,B1VP0K0
YAMAHA MOTOR CO LTD,7272 JP,33,34.67,100,6985264
SUMITOMO RUBBER INDUSTRIES LTD,5110 JP,33,20.89,100,6858991
BANK HAPOALIM BM,POLI IT,291,9.29,880,6075808
AEGON NV,AGN NA,948,8.35,2868,5927375
RESONA HOLDINGS INC,8308 JP,397,7.65,1200,6421553
MITSUI & CO LTD,8031 JP,694,22.08,2100,6597302
TOSOH CORP,4042 JP,55,20.68,166,6900289
RANDSTAD NV,RAND NA,51,81.70,155,5228658
AEON MALL CO LTD,8905 JP,33,22.71,100,6534202
UOL GROUP LTD,UOL SP,99,6.94,300,6916844
JARDINE CYCLE & CARRIAGE LTD,JCNC SP,132,32.14,400,6242260
FUJITSU LTD,6702 JP,661,8.79,2000,6356945
CNP ASSURANCES SA,CNP FP,54,29.85,164,5543986
JXTG HOLDINGS INC,5020 JP,562,9.63,1700,B627LW9
BOC HONG KONG HOLDINGS LTD,2388 HK,1133,6.31,3427,6536112
IIDA GROUP HOLDINGS CO LTD,3291 JP,33,26.24,100,BFDTBS3
UTD MIZRAHI BK (ILS0.0,MZTF IT,36,25.40,110,6916703
HARVEY NORMAN HOLDINGS LTD,HVN AU,753,3.40,2278,6173508
MITSUBISHI GAS CHEMICAL CO INC,4182 JP,66,29.64,200,6596923
HKT TRUST AND HKT LTD,6823 HK,1100,1.72,3327,B4TXDZ3
TESCO PLC,TSCO LN,1558,4.44,4714,0884709
HK ELECTRIC INVESTMENTS,2638 HK,558,1.33,1687,BJ3WDZ1
SOCIETE GENERALE SA,GLE FP,300,56.49,908,5966516
VOLKSWAGEN AG,VOW GR,21,218.45,64,5497102
RENAULT SA,RNO FP,113,110.51,343,4712798
ROYAL DUTCH SHELL PLC,RDSA LN,933,45.76,2823,B03MLX2
TOYO SUISAN KAISHA LTD,2875 JP,33,44.60,100,6899967
SEVEN & I HOLDINGS CO LTD,3382 JP,264,53.67,800,B0FS5D6
SIEMENS AG,SIE GY,360,180.01,1088,5727973
MEGGITT PLC,MGGT LN,470,9.80,1422,0575809
VENTURE CORPORATION LTD,VMS SP,67,16.74,203,6927374
FLIGHT CENTRE TRAVEL GROUP LTD,FLT AU,50,64.69,150,6352147
ASSICURAZIONI GENERALI SPA,G IM,270,22.71,817,4056719
SOUTH32 LIMITED,S32 AU,4193,3.55,12685,BWSW5D9
YOKOHAMA RUBBER CO LTD,5101 JP,33,27.25,100,6986461
INGENICO GROUP,ING FR,25,110.87,77,4196897
MITSUBISHI CORP,8058 JP,595,36.75,1800,6596785
VODAFONE GROUP PLC,VOD LN,3760,3.02,11375,BH4HKS3
BAYERISCHE MOTOREN WERKE AG,BMW3 GR,32,108.03,97,5756030
SINGAPORE AIRLINES LTD,SIA SP,231,10.54,700,6811734
NISSAN MOTOR CO LTD,7201 JP,694,12.17,2100,6642860
WM MORRISON SUPERMARKETS PLC,MRW LN,3980,4.41,12039,0604316
WH GROUP LTD,288 HK,6159,1.06,18631,BLLHKZ1
TELECOM ITALIA SPA,TIT IM,7563,0.95,22877,7634394
WOODSIDE PETROLEUM LTD,WPL AT,100,33.83,303,6979728
BARCLAYS PLC,BARC LN,7652,3.25,23147,3134865
CK HUTCHISON HOLDINGS,1 HK,959,14.07,2901,BW9P816
MARINE HARVEST ASA,MHG NO,223,27.56,675,B02L486
NISSHIN SEIFUN GROUP INC,2002 JP,66,26.23,200,6640961
BNP PARIBAS SA,BNP FP,328,82.05,993,7309681
JTEKT CORP,6473 JP,66,18.26,200,6497082
ENGIE,ENGI FP,674,20.68,2039,B0C2CQ3
AMP LTD,AMP AU,566,3.45,1713,6709958
SEKISUI HOUSE LTD,1928 JP,99,22.67,300,6793906
ELECTRICITE DE FRANCE SA,EDF FP,220,18.69,667,B0NJJ17
UNITED OVERSEAS BANK LTD,UOB SP,562,25.82,1700,6916781
BANK LEUMI,LUMI IT,463,8.13,1400,6076425
BT GROUP PLC,BT/A LN,1215,3.83,3675,3091357
SJM HOLDINGS LTD,880 HK,1689,1.63,5108,B2NR3Y6
BAYERISCHE MOTOREN WERKE AG,BMW GY,126,122.19,381,5756029
SUZUKI MOTOR CORP,7269 JP,33,78.25,100,6865504
CK INFRASTRUCTURE HOLDINGS LTD,1038 HK,192,9.94,582,BYVS6J1
SANOFI SA,SAN FP,393,112.77,1190,5671735
BARRATT DEVELOPMENTS PLC,BDEV LN,316,9.13,955,0081180
CREDIT SUISSE GROUP AG,CSGN VX,491,20.51,1485,7171589
KLEPIERRE,LI FP,79,48.38,238,7582556
HONDA MOTOR CO LTD,7267 JP,430,39.14,1300,6435145
TDK CORP,6762 JP,33,137.95,100,6869302
ICL ISRAEL CHEMICALS LTD,ICL IT,109,6.30,330,6455530
TRAVIS PERKINS PLC,TPK LN,178,23.10,539,0773960
WHARF HOLDINGS LTD,4 HK,419,4.37,1267,6435576
TOYOTA MOTOR CORP,7203 JP,496,86.15,1500,6900643
HITACHI METALS LTD,5486 JP,66,13.49,200,6429201
CASINO GUICHARD PERRACHON SA,CO FP,121,54.09,367,4178419
ASAHI GROUP HOLDINGS LTD,2502 JP,99,64.97,300,6054409
JFE HOLDINGS INC,5411 JP,264,26.47,800,6543792
COMPUTERSHARE LTD,CPU AU,97,17.54,294,6180412
UNICREDIT SPA,UCG IM,673,22.51,2037,BYMXPS7
BABCOCK INTERNATIONAL GROUP PLC,BAB LN,172,12.31,519,0969703
MITSUBISHI TANABE PHARMA CORP,4508 JP,264,24.61,800,6870984
ORANGE,ORA FP,734,21.41,2219,5176177
BOUYGUES SA,EN FP,86,55.98,261,4002121
VOLKSWAGEN AG,VOW3 GR,92,223.27,279,5497168
KONINKLIJKE AHOLD DELHAIZE,AD NA,2077,32.87,6283,BD0Q398
NICE LTD,NICE IT,24,149.06,72,6647133
ROYAL MAIL PLC,RMG LN,861,8.17,2606,BDVZYZ7
JAPAN AIRLINES CO LTD,9201 JP,33,49.25,100,B8BRV46
JAPAN POST BANK CO LTD,7182 JP,66,15.58,200,BYT8165
J SAINSBURY PLC,SBRY LN,4133,5.64,12501,B019KW7
COVESTRO AG,1COV GR,29,122.69,88,BYTBWY9
SCHAEFFLER AG,SHA GR,34,17.05,102,BZ1DNL4
YAMADA DENKI CO LTD,9831 JP,132,6.53,400,6985026
MITSUBISHI CHEMICAL HOLDINGS CORP,4188 JP,463,11.41,1400,B0JQTJ0
MICRO FOCUS INTERNATIONAL PLC,MCRO LN,256,22.17,775,BD8YWM0
YANGZIJIANG SHIPBUILDING HOLDINGS LTD,YZJSGD SP,1388,0.89,4200,B1VT035
COMPAGNIE DE SAINT GOBAIN SA,SGO FP,324,56.52,980,7380482
TOYO SEIKAN GROUP HOLDINGS LTD,5901 JP,33,23.74,100,6900267
CENTRAL JAPAN RAILWAY CO,9022 JP,33,269.65,100,6183552
SWISS RE AG,SREN VX,66,116.38,201,B545MG5
DAITO TRUST CONSTRUCTION CO LTD,1878 JT,33,213.67,100,6250508
RIO TINTO PLC,RIO LN,276,72.28,835,0718875
JAPAN POST HLDGS CO LTD,6178 JP,397,14.47,1200,BYT8143
IDEMITSU KOSAN CO LTD,5019 JP,33,59.36,100,B1FF8P7
TOKYO ELECTRIC POWER COMPANY HLDS INC,9501 JP,1421,6.12,4300,6895404
FORTESCUE METALS GROUP LTD,FMG AT,1637,4.46,4952,6086253
BRIDGESTONE CORP,5108 JP,99,49.56,300,6132101
SUN HUNG KAI PROPERTIES LTD,16 HK,395,20.14,1194,6859927
JAPAN TOBACCO INC,2914 JT,298,35.28,900,6474535
DEUTSCHE BANK AG,DBK GR,1135,15.79,3434,5750355
BANK OF QUEENSLAND LTD,BOQ AT,207,10.69,627,6076243
AGEAS SA,AGS BB,50,68.99,150,B86S2N0
NOKIA OYJ,NOKIA FH,2711,7.75,8200,5902941
NN GROUP NV,NN NA,122,57.06,370,BNG8PQ9
PORSCHE AUTOMOBIL HOLDING SE,PAH3 GR,100,85.57,301,7101069
GOLDEN AGRI-RESOURCES LTD,GGR SP,7273,0.27,22000,6164472
KERRY PROPERTIES LTD,683 HK,274,6.43,830,6486314
UPM-KYMMENE OYJ,UPM FH,103,46.70,311,5051252
MEDIOBANCA DI CREDITO FINANZ SPA,MB IM,130,13.19,394,4574813
SEIKO EPSON CORP,6724 JP,99,23.16,300,6616508
TAISHO PHARMACEUTICAL HOLDINGS CO LTD,4581 JP,33,149.40,100,B3QX5G4
ACS ACTIVIDADES,ACS SM,146,57.60,441,B01FLQ6
FUJIFILM HOLDINGS CORP,4901 JP,165,54.41,500,6356525
ENEL SPA,ENEL IM,1724,7.20,5216,7144569
SWISS LIFE HOLDING AG,SLHN VX,12,459.22,37,7437805
ATOS SE,ATO FP,53,181.39,159,5654781
AP MOELLER - MAERSK A/S,MAERSKB DC,7,1762.61,20,4253048
BANCO SANTANDER SA,SAN SM,3646,7.21,11029,5705946
AISIN SEIKI CO LTD,7259 JP,33,59.07,100,6010702
MITSUBISHI UFJ FINANCIAL GROUP INC,8306 JP,2281,8.09,6900,6335171
CREDIT AGRICOLE SA,ACA FP,361,17.83,1092,7262610
TELSTRA CORPORATION LTD,TLS AT,1771,2.66,5356,6087289
METRO AG (NEW),B4B GR,240,15.52,726,BD6QT83
UNIPER SE,UN01 DE,70,39.80,212,BZ6CZ43
MARUBENI CORP,8002 JP,860,10.04,2600,6569464
SONIC HEALTHCARE LTD,SHL AT,420,25.58,1272,6821120
NXP SEMICONDUCTORS NV,NXPI US,107,128.23,323,B505PN7
DAIWA HOUSE INDUSTRY CO LTD,1925 JP,231,47.13,700,6251363
LAFARGEHOLCIM,HOLN VX,78,63.57,235,7110753
BROTHER INDUSTRIES LTD,6448 JP,66,26.62,200,6146500
ROYAL BANK OF SCOTLAND GROUP PLC,RBS LN,1205,4.26,3644,B7T7721
MERCK KGAA,MRK GY,27,131.89,83,4741844
SINO LAND CO LTD,83 HK,1322,2.20,3998,6810429
DBS GROUP HOLDINGS LTD,DBS SP,793,25.44,2400,6175203
BRITISH AMERICAN TOBACCO PLC,BATS LN,414,68.41,1251,0287580
EVONIK INDUSTRIES AG,EVK GR,24,48.20,72,B5ZQ9D3
EASYJET PLC,EZJ LN,93,27.36,280,B7KR2P8
MITSUBISHI MATERIALS CORP,5711 JP,33,36.23,100,6597089
BANK OF IRELAND GROUP,BIRG ID,229,10.84,692,BD1RP61
TOPPAN PRINTING CO LTD,7911 JP,331,10.02,1000,6897024
NOMURA REAL EST MF (NEW),3462 JP,2,1862.08,5,BYSJJF4
CONCORDIA FINANCIAL GRP,7186 JT,198,7.12,600,BD97JW7
NORSK HYDRO ASA,NHY NO,277,7.50,837,B11HK39
BAYER AG,BAYN GY,202,141.95,610,5069211
INTERNTNL CONSOLIDATED AIRLINES GRP SA,IAG SM,824,11.50,2493,B5282K0
WILMAR INTERNATIONAL LTD,WIL SP,1421,2.94,4300,B17KC69
SANTOS LTD,STO AU,333,6.03,1006,6776703
LAND SECURITIES GROUP PLC,LAND LN,419,16.02,1267,BYW0PQ6
SOLVAY SA,SOLB BB,19,167.91,58,4821100
UCB SA,UCB BB,25,109.83,76,5596991
AXA SA,CS FP,583,32.28,1765,7088429
BHP BILLITON PLC,BLT LN,408,29.10,1235,0056650
NOVARTIS AG,NOVN VX,501,108.06,1517,7103065
SUMITOMO CORP,8053 JP,496,21.58,1500,6858946
LLOYDS BANKING GROUP PLC,LLOY LN,10555,1.08,31930,0870612
RAIFFEISEN BANK INTERNATIONAL AG,RBI AV,37,42.96,113,B0704T9
STMICROELECTRONICS NV,STM FP,251,28.97,760,5962332
OBAYASHI CORP,1802 JP,231,13.47,700,6656407
TOTAL SA,FP FP,637,81.15,1927,B15C557
AGL ENERGY LTD,AGL AT,116,20.95,351,BSS7GP5
EXOR NV,EXOM QX,23,82.22,69,BYSLCX9
RICOH CO LTD,7752 JP,264,12.27,800,6738220
ROHM CO LTD,6963 JP,33,115.12,100,6747204
AP MOELLER - MAERSK A/S,MAERSKA DC,4,1665.88,13,4253059
SUMITOMO ELECTRIC INDUSTRIES LTD,5802 JP,165,19.96,500,6858708
AJINOMOTO CO INC,2802 JP,66,24.56,200,6010906
ISUZU MOTORS LTD,7202 JP,132,17.56,400,6467104
SUMITOMO DAINIPPON PHARMA CO LTD,4506 JP,165,29.43,500,6250865
NIPPON TELEGRAPH AND TELEPHONE CORP,9432 JP,430,59.40,1300,6641373
OVERSEA-CHINESE BANKING CORP LTD,OCBC SG,1421,11.26,4300,B0F9V20
HEIDELBERGCEMENT AG,HEI GR,44,107.72,132,5120679
IBERDROLA SA-RTS,IBE,1687,0.29,5104,BFZ61H1
SUMITOMO MITSUI FINANCIAL GROUP INC,8316 JP,298,52.50,900,6563024
POWER ASSETS HOLDINGS LTD,6 HK,228,9.51,689,6435327
WESTPAC BANKING CORP,WBC AT,489,28.61,1480,6076146
TELECOM ITALIA SPA,TITR IM,5343,0.83,16162,7634402
COMMERZBANK AG,CBK GR,421,13.57,1275,B90LKT4
BRITISH LAND COMPANY PLC,BLND LN,427,11.19,1293,0136701
ALFRESA HOLDINGS CORP,2784 JP,298,31.84,900,6687214
SHIRE PLC,SHP LN,366,74.82,1106,B2QKY05
REPSOL SA,REP SM,634,25.69,1918,5669354
MEDIPAL HOLDINGS CORP,7459 JP,298,26.87,900,6782090
LEONARDO SPA,LDO IM,263,14.06,796,B0DJNG0
IBERDROLA SA,IBE SM,1307,10.03,3954,B288C92
ARCELORMITTAL SA,MT NA,291,40.47,880,BYPBS67
CK ASSET HOLDINGS,1113 HK,1556,10.07,4708,BYZQ077
OMV AG,OMV AV,34,71.70,104,4651459
SEMBCORP INDUSTRIES LTD,SCI SP,231,2.59,700,B08X163
KAJIMA CORP,1812 JP,331,10.22,1000,6481320
MEBUKI FINANCIAL GROUP,7167 JP,198,4.55,600,BH0VTS2
TOYOTA INDUSTRIES CORP,6201 JP,33,72.01,100,6900546
COCA-COLA BOTTLERS JAPAN HOLDINGS INC,2579 JP,33,47.54,100,6163286
YAMAZAKI BAKING CO LTD,2212 JP,33,32.97,100,6985509
WHEELOCK AND CO LTD,20 HK,204,9.25,618,6981488
HITACHI LTD,6501 JP,1983,9.37,6000,6429104
KEPPEL CORPORATION LTD,KEP SP,298,6.68,900,B1VQ5C0
CARREFOUR SA,CA FP,563,21.21,1703,5641567
ORIGIN ENERGY LTD,ORG AU,335,9.31,1013,6214861
BANCO DE SABADELL SA,SAB SM,1712,2.15,5179,B1X8QN2
FIAT CHRYSLER AUTOMOBILES NV,FCA IM,628,21.45,1899,BRJFWP3
YARA INTERNATIONAL ASA,YAR NO,45,57.09,135,7751259
ARKEMA SA,AKE FP,16,160.37,47,B0Z5YZ2
KOBE STEEL LTD,5406 JP,198,12.67,600,6496023
K&S AG,SDF GR,57,33.52,171,B54C017
MEDICLINIC INTERNATIONAL PLC,MDC LN,105,8.92,318,B8HX8Z8
GLENCORE PLC,GLEN LN,3100,5.63,9378,B4T3BW6
CREDIT SAISON CO LTD,8253 JP,33,20.32,100,6591809
TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA US,567,30.89,1714,2883878
TOYOTA TSUSHO CORP,8015 JP,66,44.31,200,6900580
YUE YUEN INDUSTRIAL (HOLDINGS) LTD,551 HK,1207,3.99,3651,6586537
MICHELIN (CGDE),ML FP,37,164.73,112,4588364
QBE INSURANCE GROUP LTD,QBE AU,357,9.77,1081,6715740
AZRIELI GROUP,AZRG IT,36,64.10,109,B5MN1W0
ALPS ELECTRIC CO LTD,6770 JP,33,35.99,100,6021500
SUBARU CORP,7270 JT,99,37.80,300,6356406
MUENCHENER RUECKVERSICHERUNGS AG,MUV2 GR,23,280.72,71,5294121
AUSTRALIA & NEW ZEALAND BNKING GRP LTD,ANZ AT,486,28.48,1469,6065586
DEUTSCHE LUFTHANSA AG,LHA GR,322,31.94,975,5287488
CAPGEMINI SE,CAP FP,66,178.67,199,4163437
KONICA MINOLTA INC,4902 JP,198,12.06,600,6496700
HANG LUNG PROPERTIES LTD,101 HK,631,2.69,1908,6030506
AERCAP HOLDINGS NV,AER US,166,73.18,501,B1HHKD3
STORA ENSO OYJ,STERV FH,95,22.24,286,5072673
NIPPON STEEL & SUMITOMO METAL CORP,5401 JP,331,26.16,1000,6642569
HEALTHSCOPE LIMITED,HSO AU,1873,2.18,5666,BP46PW5
PEUGEOT SA,UG FP,298,36.70,902,7103526
NOK,7240 JP,33,25.18,100,6642428
CLP HOLDINGS LTD,2 HK,343,14.71,1038,6097017
CITY DEVELOPMENTS LTD,CIT SP,99,9.68,300,6197928
BOLIDEN AB,BOL SS,63,38.81,190,BDFD9D0
DAIMLER AG,DAI GY,353,89.49,1069,5529027
BLUESCOPE STEEL LTD,BSL AU,267,18.26,808,6533232
ANGLO AMERICAN PLC,AAL LN,450,29.49,1362,B1XZS82
SUMITOMO MITSUI TRUST HOLDINGS INC,8309 JP,66,53.59,200,6431897
MAZDA MOTOR CORP,7261 JP,165,16.05,500,6900308
BENDIGO AND ADELAIDE BANK LTD,BEN AU,218,11.09,658,6091280

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZVU,JH297,BMO MSCI USA VALUE INDEX ETF,401000,22.60904,0.01896,0,1.30355,0.3,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CA INC,CA US,77,57.42,307,2214832
CORNING INC,GLW US,234,43.29,940,2224701
UNIVERSAL HEALTH SERVICES INC,UHS US,28,153.98,113,2923785
EVEREST RE GROUP LTD,RE US,8,291.50,34,2556868
WESTLAKE CHEMICAL CORP,WLK US,5,137.56,21,B01ZP20
HP INC,HPQ US,359,30.36,1440,BYX4D52
UNITED CONTINENTAL HOLDINGS INC,UAL US,124,105.01,498,B4QG225
FREEPORT-MCMORAN INC,FCX US,515,20.67,2066,2352118
MORGAN STANLEY,MS US,250,66.53,1001,2262314
WALGREENS BOOTS ALLIANCE INC,WBA US,269,86.95,1079,BTN1Y44
CITIZENS FINANCIAL GROUP INC,CFG US,110,52.04,440,BQRX1X3
LYONDELLBASELL INDUSTRIES NV,LYB US,109,142.63,439,B3SPXZ3
DISCOVERY INC,DISCK US,139,31.36,556,B3D7KG4
CENTURYLINK INC,CTL US,141,23.80,565,2185046
SEAGATE TECHNOLOGY PLC,STX US,83,73.57,332,B58JVZ5
EXPRESS SCRIPTS HOLDING CO,ESRX US,246,102.65,988,B7QQYV9
KOHLS CORP,KSS US,149,96.29,596,2496113
PACCAR INC,PCAR US,85,83.65,341,2665861
EXELON CORP,EXC US,591,54.59,2368,2670519
AES CORP,AES US,274,17.47,1097,2002479
EQT CORP,EQT US,44,72.26,175,2319414
METLIFE INC,MET US,276,58.29,1107,2573209
WESTERN DIGITAL CORP,WDC US,128,98.59,514,2954699
MICRON TECHNOLOGY INC,MU US,550,69.60,2206,2588184
NUCOR CORP,NUE US,78,88.62,312,2651086
HOST HOTELS & RESORTS INC,HST US,1427,27.44,5721,2567503
AMERCO,UHAL US,4,485.21,17,2028174
JEFFERIES FINANCIAL GROUP INC,JEF US,57,29.77,230,BG0Q4Z2
EATON CORP PLC,ETN US,92,102.95,367,B8KQN82
ANTERO RESOURCES CORP,AR US,101,27.73,406,BFD2WR8
CENTENE CORP DEL,CNC US,61,171.91,244,2807061
PERRIGO CO PLC,PRGO US,34,100.74,138,BGH1M56
UNITED THERAPEUTICS CORP,UTHR US,16,161.99,65,2430412
NEWMONT MINING CORP,NEM US,116,48.84,465,2636607
HARTFORD FINANCIAL SERVICES GROUP INC,HIG US,62,68.25,250,2476193
CARNIVAL CORP,CCL US,214,75.31,858,2523044
ENTERGY CORP,ETR US,71,103.31,284,2317087
FLUOR CORP,FLR US,97,65.71,387,2696838
LAM RESEARCH CORP,LRCX US,37,225.25,150,2502247
XEROX CORP,XRX US,74,32.29,298,BYWTW73
ARCONIC INC,ARNC US,102,25.11,409,BD3D9G5
NORDSTROM INC,JWN US,61,69.62,245,2641827
KROGER CO,KR US,358,36.86,1435,2497406
INTEL CORP,INTC US,1138,68.35,4564,2463247
QURATE RETAIL INC,QRTEA US,99,27.91,395,BZ19HB0
JAZZ PHARMACEUTICALS PLC,JAZZ US,9,229.71,36,B4Q5ZN4
DELTA AIR LINES INC,DAL US,293,67.34,1174,B1W9D46
VIACOM INC,VIAB US,224,36.34,899,B0SRLF4
MOLSON COORS BREWING CO,TAP US,50,85.27,199,B067BM3
LEAR CORP,LEA US,51,236.78,203,B570P91
SOUTHWEST AIRLINES CO,LUV US,177,68.16,711,2831543
KNIGHT SWIFT TRANSPORTATION HLDGS INC,KNX US,56,46.68,225,BF0LKD0
INGREDION INC,INGR US,19,127.84,76,B7K24P7
FORD MOTOR CO,F US,3658,13.71,14669,2615468
HEWLETT PACKARD ENTERPRISE CO,HPE US,742,20.18,2977,BYVYWS0
CISCO SYSTEMS INC,CSCO US,1182,56.26,4740,2198163
GOLDMAN SACHS GROUP INC,GS US,81,308.54,323,2407966
GOODYEAR TIRE & RUBBER CO,GT US,230,28.21,921,2378200
UNITED RENTALS INC,URI US,91,190.79,363,2134781
INTERNATIONAL PAPER CO,IP US,77,69.14,307,2465254
AMERICAN INTERNATIONAL GROUP INC,AIG US,290,69.83,1162,2027342
VEREIT INC,VER US,1302,9.79,5220,BYVVTJ1
ANDEAVOR,ANDV US,41,183.16,163,BF0G7N4
CARDINAL HEALTH INC,CAH US,87,64.42,347,2175672
J M SMUCKER CO,SJM US,43,141.46,172,2951452
BRIGHTHOUSE FINL INC,BHF US,36,54.79,144,BF429K9
APPLE INC,AAPL US,922,253.96,3697,2046251
TYSON FOODS INC,TSN US,136,81.63,544,2909730
DELL TECHNOLOGIES INC,DVMT US,41,122.27,166,BDB2RN7
